day,sigmaHat_S,sigmaHat_C,naiv_profit,naiv_cost,naiv_imbalance,lern_profit,lern_cost,lern_imbalance,orac_profit,orac_cost,orac_imbalance,naiv_cumProfit,lern_cumProfit,orac_cumProfit,naiv_cumCost,lern_cumCost,orac_cumCost
1,0.0000,0.0000,3.8930,24.1868,6.3857,3.8930,24.1868,6.3857,2.5159,23.0243,6.5000,3.8930,3.8930,2.5159,24.1868,24.1868,23.0243
2,0.1495,0.1466,4.4594,26.5707,7.9958,3.1353,25.0012,7.4856,3.8137,24.7577,6.7154,8.3523,7.0282,6.3297,50.7575,49.1880,47.7820
3,0.1547,0.1603,3.4080,25.1933,8.3637,3.3441,23.9438,6.1302,3.5485,25.7011,8.3143,11.7603,10.3724,9.8781,75.9508,73.1318,73.4831
4,0.1291,0.1837,3.4625,25.0946,7.9000,3.3551,25.0124,7.4958,3.4626,24.7052,6.9148,15.2228,13.7274,13.3407,101.0453,98.1442,98.1883
5,0.1318,0.1850,4.3015,26.2314,8.3000,3.6570,25.7787,8.3000,3.6438,25.3922,8.3000,19.5243,17.3844,16.9845,127.2768,123.9229,123.5804
6,0.1303,0.1956,3.1460,22.4363,5.3000,3.4167,22.3552,5.3000,2.5924,22.9696,6.2876,22.6703,20.8011,19.5769,149.7131,146.2781,146.5501
7,0.1533,0.1884,4.4960,26.0186,7.6000,3.2968,24.5140,7.3297,3.4721,24.6801,6.5347,27.1663,24.0980,23.0490,175.7318,170.7921,171.2302
8,0.1469,0.1881,3.0659,26.8819,9.6226,2.9462,25.8201,8.4477,3.0609,25.9798,8.5572,30.2322,27.0441,26.1099,202.6137,196.6122,197.2100
9,0.1432,0.1931,4.0973,26.9405,9.1000,2.9058,24.4553,7.0439,3.4864,25.2781,7.8931,34.3295,29.9499,29.5963,229.5542,221.0674,222.4881
10,0.1439,0.1912,4.0485,22.3347,4.4285,3.0595,21.8378,4.5267,3.3836,22.0387,4.6011,38.3781,33.0094,32.9799,251.8888,242.9053,244.5268
11,0.1397,0.1875,3.2507,21.6170,4.4630,3.7596,21.8906,4.1020,3.1750,21.8331,3.9000,41.6287,36.7690,36.1549,273.5058,264.7958,266.3599
12,0.1398,0.1873,4.1014,26.7661,8.6000,3.4259,25.0849,7.3986,3.7493,25.7724,8.3493,45.7301,40.1949,39.9042,300.2719,289.8808,292.1323
13,0.1385,0.1879,3.6875,24.7583,7.1522,3.2962,24.9342,7.1084,3.2936,24.3754,6.6572,49.4177,43.4910,43.1978,325.0302,314.8150,316.5077
14,0.1458,0.1850,3.7224,24.5362,6.8065,3.6316,23.8978,5.6318,2.8275,22.7121,5.5422,53.1401,47.1226,46.0253,349.5664,338.7128,339.2198
15,0.1458,0.1823,3.5163,24.4571,7.0591,3.0953,22.8807,4.8594,3.0303,23.6358,6.2535,56.6563,50.2179,49.0556,374.0236,361.5934,362.8556
16,0.1465,0.1818,4.1485,23.9318,6.2121,3.1365,23.5077,6.0522,3.2564,23.1796,6.3570,60.8049,53.3543,52.3119,397.9554,385.1012,386.0351
17,0.1491,0.1839,3.3350,23.7248,6.7083,3.0744,23.7339,5.9050,3.2180,23.2576,6.3000,64.1398,56.4287,55.5299,421.6801,408.8351,409.2928
18,0.1467,0.1875,3.0964,25.1998,8.2395,3.1621,25.6779,8.1953,3.1589,24.7736,7.5184,67.2362,59.5908,58.6888,446.8799,434.5129,434.0664
19,0.1443,0.1859,3.8087,25.0670,7.6808,3.6566,25.0649,6.6977,3.5176,24.1511,6.6466,71.0449,63.2474,62.2064,471.9469,459.5778,458.2175
20,0.1430,0.1849,3.0494,24.4122,7.2000,3.1407,23.8441,5.3606,2.9392,24.3176,7.4573,74.0943,66.3881,65.1456,496.3591,483.4219,482.5351
21,0.1431,0.1830,4.5970,25.8974,7.3000,4.0082,24.9842,7.2000,3.7425,24.8143,7.1275,78.6913,70.3963,68.8881,522.2565,508.4062,507.3494
22,0.1406,0.1831,3.4135,20.6779,3.8113,2.9700,20.8610,3.8732,3.0925,20.8337,3.8891,82.1048,73.3662,71.9806,542.9344,529.2672,528.1831
23,0.1419,0.1814,4.0906,22.8654,4.9483,3.3880,22.7141,5.1000,3.8528,22.0924,4.2775,86.1954,76.7542,75.8334,565.7997,551.9812,550.2754
24,0.1417,0.1798,3.5741,24.5094,7.3987,3.4366,23.8052,6.1365,3.0713,23.7544,6.8608,89.7695,80.1909,78.9047,590.3092,575.7864,574.0299
25,0.1414,0.1784,4.1342,24.2341,6.1124,3.5748,23.1931,5.7763,3.0557,22.8707,6.3337,93.9037,83.7657,81.9604,614.5433,598.9795,596.9006
26,0.1434,0.1764,3.8841,23.5181,6.2197,3.3505,22.7243,5.8170,3.6084,23.2693,5.7373,97.7878,87.1161,85.5688,638.0614,621.7039,620.1699
27,0.1407,0.1753,4.1845,24.6140,6.5774,2.1297,21.9674,5.5881,3.5734,23.8311,5.8908,101.9723,89.2458,89.1422,662.6754,643.6712,644.0010
28,0.1412,0.1740,2.8869,24.6318,7.4807,3.3236,24.9643,7.2957,3.0978,23.8186,6.1229,104.8592,92.5694,92.2400,687.3071,668.6355,667.8196
29,0.1402,0.1727,4.1401,23.4665,5.7801,3.4451,22.9365,5.2865,3.4072,22.5317,5.3160,108.9993,96.0145,95.6472,710.7736,691.5720,690.3513
30,0.1430,0.1742,2.9809,27.9195,10.7516,3.3739,26.6959,8.9048,3.2966,26.9642,8.5365,111.9802,99.3884,98.9438,738.6931,718.2678,717.3155
