slot,generation,demand,feedIn,retail,ref_amount,ref_price,ref_supplier_surplus,ref_customer_deficit,bat_amount,bat_price,bat_supplier_surplus,bat_customer_deficit
0,0.100,0.800,6.000,22.000,0.261,16.523,0.000,0.539,2.410,13.884,0.000,0.000
1,0.000,0.800,6.000,22.000,0.461,11.410,0.000,0.339,0.656,17.610,0.000,0.000
2,0.000,0.900,6.000,22.000,0.052,16.285,0.000,0.848,3.259,15.636,0.000,0.000
3,0.000,0.800,6.000,22.000,0.605,12.774,0.000,0.195,0.447,13.245,0.000,0.000
4,0.000,1.100,6.000,22.000,0.450,14.615,0.000,0.650,2.557,14.374,0.000,0.000
5,0.100,1.800,6.000,22.000,0.680,11.240,0.000,1.120,1.851,12.183,0.000,0.000
6,0.100,3.200,8.000,30.000,0.475,15.911,0.000,2.725,1.472,18.479,0.000,0.000
7,0.600,4.600,8.000,30.000,2.709,19.199,0.000,1.891,2.571,17.130,0.000,0.000
8,2.400,4.600,8.000,30.000,3.277,15.878,0.000,1.323,2.404,20.993,0.000,1.246
9,4.900,3.200,8.000,30.000,3.556,19.798,1.344,0.000,3.291,19.750,0.000,0.000
10,7.600,1.800,5.000,20.000,2.973,17.743,4.627,0.000,2.034,15.038,2.566,0.000
11,9.400,1.100,5.000,20.000,0.991,14.672,8.409,0.109,5.737,14.603,0.663,0.000
12,9.900,0.800,5.000,20.000,1.177,14.585,8.723,0.000,0.000,12.618,7.509,0.000
13,9.400,0.800,5.000,20.000,1.195,15.244,8.205,0.000,2.717,15.350,6.683,0.000
14,7.600,1.000,5.000,20.000,1.484,14.104,6.116,0.000,2.098,12.544,5.502,0.000
15,5.000,1.200,5.000,20.000,1.977,12.017,3.023,0.000,1.868,11.123,3.132,0.000
16,2.600,2.200,9.000,38.000,2.435,23.048,0.165,0.000,2.562,36.130,0.038,0.000
17,0.700,3.500,9.000,38.000,2.659,24.388,0.000,0.841,2.621,33.471,0.000,0.000
18,0.000,5.300,9.000,38.000,2.711,28.216,0.000,2.589,2.616,36.939,0.000,0.000
19,0.000,6.600,9.000,38.000,2.111,26.751,0.000,4.489,5.317,28.501,0.000,0.095
20,0.000,6.700,9.000,38.000,1.308,25.231,0.000,5.392,0.000,16.854,0.000,6.700
21,0.000,5.400,9.000,38.000,0.192,27.886,0.000,5.208,4.460,28.527,0.000,0.940
22,0.000,3.500,6.000,22.000,1.494,16.989,0.000,2.006,4.126,20.424,0.000,0.000
23,0.000,2.000,6.000,22.000,1.570,13.814,0.000,0.430,1.716,9.023,0.000,0.000
